questions,keys,datadic,col_name,assessment,domains,measures
3. I was less hungry than usual.,MFQ_SR_03,MFQ_SR,"MFQ_SR,MFQ_SR_03",Child Measures,Questionnaire_Measures_of_Emotional_and_Cognitive_Status,Mood and Feelings Questionnaire – Long Version
4. I ate more than usual.,MFQ_SR_04,MFQ_SR,"MFQ_SR,MFQ_SR_04",Child Measures,Questionnaire_Measures_of_Emotional_and_Cognitive_Status,Mood and Feelings Questionnaire – Long Version
5. I felt so tired I just sat around and did nothing.,MFQ_SR_05,MFQ_SR,"MFQ_SR,MFQ_SR_05",Child Measures,Questionnaire_Measures_of_Emotional_and_Cognitive_Status,Mood and Feelings Questionnaire – Long Version
6. I was moving and walking more slowly than usual.,MFQ_SR_06,MFQ_SR,"MFQ_SR,MFQ_SR_06",Child Measures,Questionnaire_Measures_of_Emotional_and_Cognitive_Status,Mood and Feelings Questionnaire – Long Version
7. I was very restless.,MFQ_SR_07,MFQ_SR,"MFQ_SR,MFQ_SR_07",Child Measures,Questionnaire_Measures_of_Emotional_and_Cognitive_Status,Mood and Feelings Questionnaire – Long Version
8. I felt I was no good anymore.,MFQ_SR_08,MFQ_SR,"MFQ_SR,MFQ_SR_08",Child Measures,Questionnaire_Measures_of_Emotional_and_Cognitive_Status,Mood and Feelings Questionnaire – Long Version
9. I blamed myself for things that weren't my fault.,MFQ_SR_09,MFQ_SR,"MFQ_SR,MFQ_SR_09",Child Measures,Questionnaire_Measures_of_Emotional_and_Cognitive_Status,Mood and Feelings Questionnaire – Long Version
10. It was hard for me to make up my mind.,MFQ_SR_10,MFQ_SR,"MFQ_SR,MFQ_SR_10",Child Measures,Questionnaire_Measures_of_Emotional_and_Cognitive_Status,Mood and Feelings Questionnaire – Long Version
11. I felt grumpy and cross with my parents.,MFQ_SR_11,MFQ_SR,"MFQ_SR,MFQ_SR_11",Child Measures,Questionnaire_Measures_of_Emotional_and_Cognitive_Status,Mood and Feelings Questionnaire – Long Version
12. I felt like talking less than usual.,MFQ_SR_12,MFQ_SR,"MFQ_SR,MFQ_SR_12",Child Measures,Questionnaire_Measures_of_Emotional_and_Cognitive_Status,Mood and Feelings Questionnaire – Long Version
13. I was talking more slowly than usual.,MFQ_SR_13,MFQ_SR,"MFQ_SR,MFQ_SR_13",Child Measures,Questionnaire_Measures_of_Emotional_and_Cognitive_Status,Mood and Feelings Questionnaire – Long Version
14. I cried a lot.,MFQ_SR_14,MFQ_SR,"MFQ_SR,MFQ_SR_14",Child Measures,Questionnaire_Measures_of_Emotional_and_Cognitive_Status,Mood and Feelings Questionnaire – Long Version
15. I thought there was nothing good for me in the future.,MFQ_SR_15,MFQ_SR,"MFQ_SR,MFQ_SR_15",Child Measures,Questionnaire_Measures_of_Emotional_and_Cognitive_Status,Mood and Feelings Questionnaire – Long Version
16. I thought that life wasn't worth living.,MFQ_SR_16,MFQ_SR,"MFQ_SR,MFQ_SR_16",Child Measures,Questionnaire_Measures_of_Emotional_and_Cognitive_Status,Mood and Feelings Questionnaire – Long Version
17. I thought about death or dying.,MFQ_SR_17,MFQ_SR,"MFQ_SR,MFQ_SR_17",Child Measures,Questionnaire_Measures_of_Emotional_and_Cognitive_Status,Mood and Feelings Questionnaire – Long Version
18. I thought my family would be better off without me.,MFQ_SR_18,MFQ_SR,"MFQ_SR,MFQ_SR_18",Child Measures,Questionnaire_Measures_of_Emotional_and_Cognitive_Status,Mood and Feelings Questionnaire – Long Version
19. I thought about killing myself.,MFQ_SR_19,MFQ_SR,"MFQ_SR,MFQ_SR_19",Child Measures,Questionnaire_Measures_of_Emotional_and_Cognitive_Status,Mood and Feelings Questionnaire – Long Version
20. I didn't want to see my friends.,MFQ_SR_20,MFQ_SR,"MFQ_SR,MFQ_SR_20",Child Measures,Questionnaire_Measures_of_Emotional_and_Cognitive_Status,Mood and Feelings Questionnaire – Long Version
21. I found it hard to think properly or concentrate.,MFQ_SR_21,MFQ_SR,"MFQ_SR,MFQ_SR_21",Child Measures,Questionnaire_Measures_of_Emotional_and_Cognitive_Status,Mood and Feelings Questionnaire – Long Version
22. I thought bad things would happen to me.,MFQ_SR_22,MFQ_SR,"MFQ_SR,MFQ_SR_22",Child Measures,Questionnaire_Measures_of_Emotional_and_Cognitive_Status,Mood and Feelings Questionnaire – Long Version
23. I hated myself.,MFQ_SR_23,MFQ_SR,"MFQ_SR,MFQ_SR_23",Child Measures,Questionnaire_Measures_of_Emotional_and_Cognitive_Status,Mood and Feelings Questionnaire – Long Version
24. I felt I was a bad person.,MFQ_SR_24,MFQ_SR,"MFQ_SR,MFQ_SR_24",Child Measures,Questionnaire_Measures_of_Emotional_and_Cognitive_Status,Mood and Feelings Questionnaire – Long Version
25. I thought I looked ugly.,MFQ_SR_25,MFQ_SR,"MFQ_SR,MFQ_SR_25",Child Measures,Questionnaire_Measures_of_Emotional_and_Cognitive_Status,Mood and Feelings Questionnaire – Long Version
26. I worried about aches and pains.,MFQ_SR_26,MFQ_SR,"MFQ_SR,MFQ_SR_26",Child Measures,Questionnaire_Measures_of_Emotional_and_Cognitive_Status,Mood and Feelings Questionnaire – Long Version
27. I felt lonely.,MFQ_SR_27,MFQ_SR,"MFQ_SR,MFQ_SR_27",Child Measures,Questionnaire_Measures_of_Emotional_and_Cognitive_Status,Mood and Feelings Questionnaire – Long Version
28. I thought nobody really loved me.,MFQ_SR_28,MFQ_SR,"MFQ_SR,MFQ_SR_28",Child Measures,Questionnaire_Measures_of_Emotional_and_Cognitive_Status,Mood and Feelings Questionnaire – Long Version
29. I didn't have any fun in school.,MFQ_SR_29,MFQ_SR,"MFQ_SR,MFQ_SR_29",Child Measures,Questionnaire_Measures_of_Emotional_and_Cognitive_Status,Mood and Feelings Questionnaire – Long Version
30. I thought I could never be as good as other kids.,MFQ_SR_30,MFQ_SR,"MFQ_SR,MFQ_SR_30",Child Measures,Questionnaire_Measures_of_Emotional_and_Cognitive_Status,Mood and Feelings Questionnaire – Long Version
31. I did everything wrong.,MFQ_SR_31,MFQ_SR,"MFQ_SR,MFQ_SR_31",Child Measures,Questionnaire_Measures_of_Emotional_and_Cognitive_Status,Mood and Feelings Questionnaire – Long Version
32. I didn't sleep as well as I usually sleep.,MFQ_SR_32,MFQ_SR,"MFQ_SR,MFQ_SR_32",Child Measures,Questionnaire_Measures_of_Emotional_and_Cognitive_Status,Mood and Feelings Questionnaire – Long Version
33. I slept a lot more than usual.,MFQ_SR_33,MFQ_SR,"MFQ_SR,MFQ_SR_33",Child Measures,Questionnaire_Measures_of_Emotional_and_Cognitive_Status,Mood and Feelings Questionnaire – Long Version
Total Score,MFQ_SR_Total,MFQ_SR,"MFQ_SR,MFQ_SR_Total",Child Measures,Questionnaire_Measures_of_Emotional_and_Cognitive_Status,Mood and Feelings Questionnaire – Long Version
Did participant qualify for MRI scan?,Qualify,MRI_Track,,,,
Scan Location,Scan_Location,MRI_Track,,,,
Were all scans completed?,Complete,MRI_Track,,,,
"If incomplete, reason:",incomplete_reason,MRI_Track,,,,
Clinical Impression,Clinical_Impression,MRI_Track,,,,
Peer 1 complete?,Peer1,MRI_Track,,,,
Resting State 1 complete?,RS,MRI_Track,,,,
Peer 2 complete?,Peer2,MRI_Track,,,,
Movie 1 (Despicable Me) complete?,Movie1,MRI_Track,,,,
Peer 3 complete?,Peer3,MRI_Track,,,,
T1W complete?,T1W,MRI_Track,,,,
T2-FLAIR (Fluid attenuated inversion recovery) complete?,T2Flair,MRI_Track,,,,
T2-SPACE complete?,T2Space,MRI_Track,,,,
Field Maps complete?,FM,MRI_Track,,,,
Diffusion Weighted Image B=0 PA-AX complete?,DWI_PAAX,MRI_Track,,,,
Diffusion Weighted Image B=0 AP-AX complete?,DWI_APAX,MRI_Track,,,,
Diffusion Kurtosis Imaging 64 Directions AP complete?,DKI64,MRI_Track,,,,
Movie 2 (The Present) complete?,Movie2,MRI_Track,,,,
Resting State 2 complete?,RS2,MRI_Track,,,,
Magnetization Transfer On complete?,MT_ON,MRI_Track,,,,
Magnetization Transfer Off complete?,MT_OFF,MRI_Track,,,,
Age,Age,NIH_Full,"NIH_final,Age",Child Measures,Cognitive_Testing,NIH Toolbox
Sex,Sex,NIH_Full,"NIH_final,Sex",Child Measures,Cognitive_Testing,NIH Toolbox
Handedness,Handedness,NIH_Full,"NIH_final,Handedness",Child Measures,Cognitive_Testing,NIH Toolbox
Card Sort Raw Score,NIH_Card_Sort_Raw,NIH_Full,"NIH_final,NIH_Card_Sort_Raw",Child Measures,Cognitive_Testing,NIH Toolbox
Card Sort Item Count,NIH_Card_Sort_Itm_Cnt,NIH_Full,"NIH_final,NIH_Card_Sort_Itm_Cnt",Child Measures,Cognitive_Testing,NIH Toolbox
Card Sort Computed Score,NIH_Card_Sort_Computed_Score,NIH_Full,"NIH_final,NIH_Card_Sort_Computed_Score",Child Measures,Cognitive_Testing,NIH Toolbox
Card Sort Uncorrected Standard Score,NIH_Card_Sort_Uncorr_Stnd,NIH_Full,"NIH_final,NIH_Card_Sort_Uncorr_Stnd",Child Measures,Cognitive_Testing,NIH Toolbox
Card Sort Age-Corrected Standard Score,NIH_Card_Sort_Age_Corr_Stnd,NIH_Full,"NIH_final,NIH_Card_Sort_Age_Corr_Stnd",Child Measures,Cognitive_Testing,NIH Toolbox
Card Sort Instrument Breakoff,NIH_Card_Sort_Inst_Breakoff,NIH_Full,"NIH_final,NIH_Card_Sort_Inst_Breakoff",Child Measures,Cognitive_Testing,NIH Toolbox
Card Sort Instrument Status,NIH_Card_Sort_Inst_Status,NIH_Full,"NIH_final,NIH_Card_Sort_Inst_Status",Child Measures,Cognitive_Testing,NIH Toolbox
Was Card Sort Rescored?,NIH_Card_Sort_Rescored,NIH_Full,"NIH_final,NIH_Card_Sort_Rescored",Child Measures,Cognitive_Testing,NIH Toolbox
Flanker Raw Score,NIH_Flanker_Raw,NIH_Full,"NIH_final,NIH_Flanker_Raw",Child Measures,Cognitive_Testing,NIH Toolbox
Flanker Item Count,NIH_Flanker_Itm_Cnt,NIH_Full,"NIH_final,NIH_Flanker_Itm_Cnt",Child Measures,Cognitive_Testing,NIH Toolbox
Flanker Computed Score,NIH_Flanker_Computed_Score,NIH_Full,"NIH_final,NIH_Flanker_Computed_Score",Child Measures,Cognitive_Testing,NIH Toolbox
Flanker Uncorrected Standard Score,NIH_Flanker_Uncorr_Stnd,NIH_Full,"NIH_final,NIH_Flanker_Uncorr_Stnd",Child Measures,Cognitive_Testing,NIH Toolbox
Flanker Age-Corrected Standard Score,NIH_Flanker_Age_Corr_Stnd,NIH_Full,"NIH_final,NIH_Flanker_Age_Corr_Stnd",Child Measures,Cognitive_Testing,NIH Toolbox
Flanker Instrument Breakoff,NIH_Flanker_Inst_Breakoff,NIH_Full,"NIH_final,NIH_Flanker_Inst_Breakoff",Child Measures,Cognitive_Testing,NIH Toolbox
Flanker Instrument Status,NIH_Flanker_Inst_Status,NIH_Full,"NIH_final,NIH_Flanker_Inst_Status",Child Measures,Cognitive_Testing,NIH Toolbox
Was Flanker Rescored?,NIH_Flanker_Rescored,NIH_Full,"NIH_final,NIH_Flanker_Rescored",Child Measures,Cognitive_Testing,NIH Toolbox
List Sort Raw Score,NIH_List_Sort_Raw,NIH_Full,"NIH_final,NIH_List_Sort_Raw",Child Measures,Cognitive_Testing,NIH Toolbox
List Sort Item Count,NIH_List_Sort_Itm_Cnt,NIH_Full,"NIH_final,NIH_List_Sort_Itm_Cnt",Child Measures,Cognitive_Testing,NIH Toolbox
List Sort Computed Score,NIH_List_Sort_Computed_Score,NIH_Full,"NIH_final,NIH_List_Sort_Computed_Score",Child Measures,Cognitive_Testing,NIH Toolbox
List Sort Uncorrected Standard Score,NIH_List_Sort_Uncorr_Stnd,NIH_Full,"NIH_final,NIH_List_Sort_Uncorr_Stnd",Child Measures,Cognitive_Testing,NIH Toolbox
List Sort Age-Corrected Standard Score,NIH_List_Sort_Age_Corr_Stnd,NIH_Full,"NIH_final,NIH_List_Sort_Age_Corr_Stnd",Child Measures,Cognitive_Testing,NIH Toolbox
List Sort Instrument Breakoff,NIH_List_Sort_Inst_Breakoff,NIH_Full,"NIH_final,NIH_List_Sort_Inst_Breakoff",Child Measures,Cognitive_Testing,NIH Toolbox
List Sort Instrument Status,NIH_List_Sort_Inst_Status,NIH_Full,"NIH_final,NIH_List_Sort_Inst_Status",Child Measures,Cognitive_Testing,NIH Toolbox
Was List Sort Rescored?,NIH_List_Sort_Rescored,NIH_Full,"NIH_final,NIH_List_Sort_Rescored",Child Measures,Cognitive_Testing,NIH Toolbox
Processing Speed Raw Score,NIH_Processing_Raw,NIH_Full,"NIH_final,NIH_Processing_Raw",Child Measures,Cognitive_Testing,NIH Toolbox
Processing Speed Item Count,NIH_Processing_Itm_Cnt,NIH_Full,"NIH_final,NIH_Processing_Itm_Cnt",Child Measures,Cognitive_Testing,NIH Toolbox
Processing Speed Computed Score,NIH_Processing_Computed_Score,NIH_Full,"NIH_final,NIH_Processing_Computed_Score",Child Measures,Cognitive_Testing,NIH Toolbox
Processing Speed Uncorrected Standard Score,NIH_Processing_Uncorr_Stnd,NIH_Full,"NIH_final,NIH_Processing_Uncorr_Stnd",Child Measures,Cognitive_Testing,NIH Toolbox
Processing Speed Age-Corrected Standard Score,NIH_Processing_Age_Corr_Stnd,NIH_Full,"NIH_final,NIH_Processing_Age_Corr_Stnd",Child Measures,Cognitive_Testing,NIH Toolbox
Processing Speed Instrument Breakoff,NIH_Processing_Inst_Breakoff,NIH_Full,"NIH_final,NIH_Processing_Inst_Breakoff",Child Measures,Cognitive_Testing,NIH Toolbox
Processing Speed Instrument Status,NIH_Processing_Inst_Status,NIH_Full,"NIH_final,NIH_Processing_Inst_Status",Child Measures,Cognitive_Testing,NIH Toolbox
Was Processing Speed Rescored?,NIH_Processing_Rescored,NIH_Full,"NIH_final,NIH_Processing_Rescored",Child Measures,Cognitive_Testing,NIH Toolbox
Picture Vocabulary Raw Score,NIH_Picture_Vocab_Raw,NIH_Full,"NIH_final,NIH_Picture_Vocab_Raw",Child Measures,Cognitive_Testing,NIH Toolbox
Picture Vocabulary Item Count,NIH_Picture_Vocab_Itm_Cnt,NIH_Full,"NIH_final,NIH_Picture_Vocab_Itm_Cnt",Child Measures,Cognitive_Testing,NIH Toolbox
Picture Vocabulary Computed Score,NIH_Picture_Vocab_Computed_Score,NIH_Full,"NIH_final,NIH_Picture_Vocab_Computed_Score",Child Measures,Cognitive_Testing,NIH Toolbox
Picture Vocabulary Uncorrected Standard Score,NIH_Picture_Vocab_Uncorr_Stnd,NIH_Full,"NIH_final,NIH_Picture_Vocab_Uncorr_Stnd",Child Measures,Cognitive_Testing,NIH Toolbox
Picture Vocabulary Age-Corrected Standard Score,NIH_Picture_Vocab_Age_Corr_Stnd,NIH_Full,"NIH_final,NIH_Picture_Vocab_Age_Corr_Stnd",Child Measures,Cognitive_Testing,NIH Toolbox
Picture Vocabulary Instrument Breakoff,NIH_Picture_Vocab_Inst_Breakoff,NIH_Full,"NIH_final,NIH_Picture_Vocab_Inst_Breakoff",Child Measures,Cognitive_Testing,NIH Toolbox
Picture Vocabulary Instrument Status,NIH_Picture_Vocab_Inst_Status,NIH_Full,"NIH_final,NIH_Picture_Vocab_Inst_Status",Child Measures,Cognitive_Testing,NIH Toolbox
Was Picture Vocabulary Rescored?,NIH_Picture_Vocab_Rescored,NIH_Full,"NIH_final,NIH_Picture_Vocab_Rescored",Child Measures,Cognitive_Testing,NIH Toolbox
Picture Sequence Raw Score,NIH_Picture_Seq_Raw,NIH_Full,"NIH_final,NIH_Picture_Seq_Raw",Child Measures,Cognitive_Testing,NIH Toolbox
Picture Sequence Item Count,NIH_Picture_Seq_Itm_Cnt,NIH_Full,"NIH_final,NIH_Picture_Seq_Itm_Cnt",Child Measures,Cognitive_Testing,NIH Toolbox
Picture Sequence Computed Score,NIH_Picture_Seq_Computed_Score,NIH_Full,"NIH_final,NIH_Picture_Seq_Computed_Score",Child Measures,Cognitive_Testing,NIH Toolbox
Picture Sequence Uncorrected Standard Score,NIH_Picture_Seq_Uncorr_Stnd,NIH_Full,"NIH_final,NIH_Picture_Seq_Uncorr_Stnd",Child Measures,Cognitive_Testing,NIH Toolbox
Picture Sequence Age-Corrected Standard Score,NIH_Picture_Seq_Age_Corr_Stnd,NIH_Full,"NIH_final,NIH_Picture_Seq_Age_Corr_Stnd",Child Measures,Cognitive_Testing,NIH Toolbox
Picture Sequence Instrument Breakoff,NIH_Picture_Seq_Inst_Breakoff,NIH_Full,"NIH_final,NIH_Picture_Seq_Inst_Breakoff",Child Measures,Cognitive_Testing,NIH Toolbox
Picture Sequence Instrument Status,NIH_Picture_Seq_Inst_Status,NIH_Full,"NIH_final,NIH_Picture_Seq_Inst_Status",Child Measures,Cognitive_Testing,NIH Toolbox
Was Picture Sequence Rescored?,NIH_Picture_Seq_Rescored,NIH_Full,"NIH_final,NIH_Picture_Seq_Rescored",Child Measures,Cognitive_Testing,NIH Toolbox
Was NIH Toolbox Completed?,NIH7_Complete,NIH_Score,,,,
"If no, reason:",NIH7_Incomplete_Reason,NIH_Score,,,,
Dimensional Change Card Sort Age 3+ Age-adjusted Scale Score,NIH7_Card,NIH_Score,,,,
Dimensional Change Card Sort Age 3+ National Percentile (age-adjusted),NIH7_Card_P,NIH_Score,,,,
Cognition Fluid Composite Age-adjusted Scale Score,NIH7_Cog,NIH_Score,,,,
Cognition Fluid Composite National Percentile (age-adjusted),NIH7_Cog_P,NIH_Score,,,,
Flanker Inhibitory Control and Attention Age 3+ Age-adjusted Score,NIH7_Flanker,NIH_Score,,,,
Flanker Inhibitory Control and Attention Age 3+ National Percentile (age-adjusted),NIH7_Flanker_P,NIH_Score,,,,
List Sorting Working Memory Age 7+ Age-adjusted Score,NIH7_List,NIH_Score,,,,
List Sorting Working Memory Age 7+ National Percentile (age-adjusted),NIH7_List_P,NIH_Score,,,,
Pattern Comparison Process Speed 7+ Age-adjusted Score,NIH7_Pattern,NIH_Score,,,,
Pattern Comparison Process Speed 7+ National Percentile (age-adjusted),NIH7_Pattern_P,NIH_Score,,,,
Picture Sequence Memory Age 3+ Age-adjusted Score,NIH7_Picture,NIH_Score,,,,
Picture Sequence Memory Age 3+ National Percentile (age-adjusted),NIH7_Picture_P,NIH_Score,,,,
"1a. The child's brother/sister was in serious trouble (such as trouble with the law, school, or drugs)",NLES_P_01a,NLES_P,"NLES_P,NLES_P_01a",Parent Measures,Interview_of_Emotional_and_Psychological_Function,Negative Life Events Scale – Parent Report
"1b. If yes, the child was aware that his/her brother/sister was in serious trouble",NLES_P_01b,NLES_P,"NLES_P,NLES_P_01b",Parent Measures,Interview_of_Emotional_and_Psychological_Function,Negative Life Events Scale – Parent Report
"1c. If yes, how upset was the child that his/her brother/sister was in serious trouble",NLES_P_01c,NLES_P,"NLES_P,NLES_P_01c",Parent Measures,Interview_of_Emotional_and_Psychological_Function,Negative Life Events Scale – Parent Report
"2a. The child's close friend had serious troubles, problems, illness, or injury",NLES_P_02a,NLES_P,"NLES_P,NLES_P_02a",Parent Measures,Interview_of_Emotional_and_Psychological_Function,Negative Life Events Scale – Parent Report
"2b. If yes, the child was aware that his/her close friend has serious troubles",NLES_P_02b,NLES_P,"NLES_P,NLES_P_02b",Parent Measures,Interview_of_Emotional_and_Psychological_Function,Negative Life Events Scale – Parent Report
"2c. If yes, how upset was the child that his/her close friend had serious troubles",NLES_P_02c,NLES_P,"NLES_P,NLES_P_02c",Parent Measures,Interview_of_Emotional_and_Psychological_Function,Negative Life Events Scale – Parent Report
"3a. The child suffered from a serious physical illness, injury, or extreme pain (something that required rest of one week in bed, hospitalization, or surgery).",NLES_P_03a,NLES_P,"NLES_P,NLES_P_03a",Parent Measures,Interview_of_Emotional_and_Psychological_Function,Negative Life Events Scale – Parent Report
"3b. If yes, the child was aware he/she suffered from a serious illness or injury",NLES_P_03b,NLES_P,"NLES_P,NLES_P_03b",Parent Measures,Interview_of_Emotional_and_Psychological_Function,Negative Life Events Scale – Parent Report
"3c. If yes, how upset was the child that he/she suffered from a serious illness or injury",NLES_P_03c,NLES_P,"NLES_P,NLES_P_03c",Parent Measures,Interview_of_Emotional_and_Psychological_Function,Negative Life Events Scale – Parent Report
"4a. The child's brother or sister suffered from serious physical illenss, injury, or extreme pain (something that required rest for one week in bed, hospitalization, or surgery).",NLES_P_04a,NLES_P,"NLES_P,NLES_P_04a",Parent Measures,Interview_of_Emotional_and_Psychological_Function,Negative Life Events Scale – Parent Report
"4b. If yes, the child was aware his/her brother/sister suffered from a serious illness or injury",NLES_P_04b,NLES_P,"NLES_P,NLES_P_04b",Parent Measures,Interview_of_Emotional_and_Psychological_Function,Negative Life Events Scale – Parent Report
"4c. If yes, how upset was the child that his/her brother/sister suffered from a serious illness or injury",NLES_P_04c,NLES_P,"NLES_P,NLES_P_04c",Parent Measures,Interview_of_Emotional_and_Psychological_Function,Negative Life Events Scale – Parent Report
5a. One of the child's brothers or sisters was very angry or upset.,NLES_P_05a,NLES_P,"NLES_P,NLES_P_05a",Parent Measures,Interview_of_Emotional_and_Psychological_Function,Negative Life Events Scale – Parent Report
"5b. If yes, the child was aware that his/her brother/sister was very angry or upset",NLES_P_05b,NLES_P,"NLES_P,NLES_P_05b",Parent Measures,Interview_of_Emotional_and_Psychological_Function,Negative Life Events Scale – Parent Report
"5c. If yes, how upset was the child that his/her brother/sister was very angry or upset",NLES_P_05c,NLES_P,"NLES_P,NLES_P_05c",Parent Measures,Interview_of_Emotional_and_Psychological_Function,Negative Life Events Scale – Parent Report
"6a. People in the child's family (such as his/her parents, brothers or sisters) physically hit each other hard or hurt each other.",NLES_P_06a,NLES_P,"NLES_P,NLES_P_06a",Parent Measures,Interview_of_Emotional_and_Psychological_Function,Negative Life Events Scale – Parent Report
"6b. If yes, the child was aware that people in his/her family hurt each other",NLES_P_06b,NLES_P,"NLES_P,NLES_P_06b",Parent Measures,Interview_of_Emotional_and_Psychological_Function,Negative Life Events Scale – Parent Report
"6c. If yes, how upset was the child that people in his/her family hurt each other",NLES_P_06c,NLES_P,"NLES_P,NLES_P_06c",Parent Measures,Interview_of_Emotional_and_Psychological_Function,Negative Life Events Scale – Parent Report
"7a. The child's parent suffered from serious illness, injury, or extreme pain, something that required rest for one week in bed, hospitalization, or surgery.",NLES_P_07a,NLES_P,"NLES_P,NLES_P_07a",Parent Measures,Interview_of_Emotional_and_Psychological_Function,Negative Life Events Scale – Parent Report
"7b. If yes, the child was aware that his/her parent suffered from serious or injury",NLES_P_07b,NLES_P,"NLES_P,NLES_P_07b",Parent Measures,Interview_of_Emotional_and_Psychological_Function,Negative Life Events Scale – Parent Report
"7c. If yes, how upset was the child that his/her parent suffered from serious illness or injury",NLES_P_07c,NLES_P,"NLES_P,NLES_P_07c",Parent Measures,Interview_of_Emotional_and_Psychological_Function,Negative Life Events Scale – Parent Report
8a. The child's mother or father talked about having serious money troubles (being worried about bills for ordinary things).,NLES_P_08a,NLES_P,"NLES_P,NLES_P_08a",Parent Measures,Interview_of_Emotional_and_Psychological_Function,Negative Life Events Scale – Parent Report
"8b. If yes, the child was aware that his/her mother or father talked about having serious money troubles",NLES_P_08b,NLES_P,"NLES_P,NLES_P_08b",Parent Measures,Interview_of_Emotional_and_Psychological_Function,Negative Life Events Scale – Parent Report
"8c. If yes, how upset was the child that his/her mother or father talked about having serious money troubles",NLES_P_08c,NLES_P,"NLES_P,NLES_P_08c",Parent Measures,Interview_of_Emotional_and_Psychological_Function,Negative Life Events Scale – Parent Report
"9a. The child's relatives such as aunts, uncles, grandparents said bad things about his/her mother or father.",NLES_P_09a,NLES_P,"NLES_P,NLES_P_09a",Parent Measures,Interview_of_Emotional_and_Psychological_Function,Negative Life Events Scale – Parent Report
"9b. If yes, the child was aware that his/her relatives said bad things about his/her mother or father",NLES_P_09b,NLES_P,"NLES_P,NLES_P_09b",Parent Measures,Interview_of_Emotional_and_Psychological_Function,Negative Life Events Scale – Parent Report
"9c. If yes, how upset was the child that his/her relatives said bad things about his/her mother or father",NLES_P_09c,NLES_P,"NLES_P,NLES_P_09c",Parent Measures,Interview_of_Emotional_and_Psychological_Function,Negative Life Events Scale – Parent Report
"10a. The child's mother or father fought or argued with his/her relatives such as aunts, uncles, grandparents",NLES_P_10a,NLES_P,"NLES_P,NLES_P_10a",Parent Measures,Interview_of_Emotional_and_Psychological_Function,Negative Life Events Scale – Parent Report
"10b. The child's If yes, the child was aware that his/her mother or father fought or argued with his/her relatives",NLES_P_10b,NLES_P,"NLES_P,NLES_P_10b",Parent Measures,Interview_of_Emotional_and_Psychological_Function,Negative Life Events Scale – Parent Report
"10c. If yes, how upset was the child that his/her mother or father fought or argued with his/her relatives",NLES_P_10c,NLES_P,"NLES_P,NLES_P_10c",Parent Measures,Interview_of_Emotional_and_Psychological_Function,Negative Life Events Scale – Parent Report
11a. The child's mother or father acted badly in front of the child's friends (did things like yelled at them or criticized them).,NLES_P_11a,NLES_P,"NLES_P,NLES_P_11a",Parent Measures,Interview_of_Emotional_and_Psychological_Function,Negative Life Events Scale – Parent Report
"11b. If yes, the child was aware that his/her mother or father acted badly in front of the child's friends",NLES_P_11b,NLES_P,"NLES_P,NLES_P_11b",Parent Measures,Interview_of_Emotional_and_Psychological_Function,Negative Life Events Scale – Parent Report
"11c. If yes, how upset was the child that his.her mother or father acted badly in fron of the child's friends?",NLES_P_11c,NLES_P,"NLES_P,NLES_P_11c",Parent Measures,Interview_of_Emotional_and_Psychological_Function,Negative Life Events Scale – Parent Report
12a. The child's mother or father was intoxicated in the child's presence,NLES_P_12a,NLES_P,"NLES_P,NLES_P_12a",Parent Measures,Interview_of_Emotional_and_Psychological_Function,Negative Life Events Scale – Parent Report
"12b. If yes, the child was aware his/her parents were intoxicated",NLES_P_12b,NLES_P,"NLES_P,NLES_P_12b",Parent Measures,Interview_of_Emotional_and_Psychological_Function,Negative Life Events Scale – Parent Report
"12c. If yes, how upset was the child that his/her parents were intoxicated",NLES_P_12c,NLES_P,"NLES_P,NLES_P_12c",Parent Measures,Interview_of_Emotional_and_Psychological_Function,Negative Life Events Scale – Parent Report
"13a. The child's mother or father forgot to do important things for him/her that they promised they would do, such as take him/her on a trip, take him/her to nice places, or come to his/her school or athletic activities.",NLES_P_13a,NLES_P,"NLES_P,NLES_P_13a",Parent Measures,Interview_of_Emotional_and_Psychological_Function,Negative Life Events Scale – Parent Report
"13b. If yes, the child was aware his/her mother or father forgot to do important things for him/her",NLES_P_13b,NLES_P,"NLES_P,NLES_P_13b",Parent Measures,Interview_of_Emotional_and_Psychological_Function,Negative Life Events Scale – Parent Report
"13c. If yes, how upset was the child that his/her mother or father forgot to do important things for him/her",NLES_P_13c,NLES_P,"NLES_P,NLES_P_13c",Parent Measures,Interview_of_Emotional_and_Psychological_Function,Negative Life Events Scale – Parent Report
14a. The child's mother or father was arrested or sent to jail.,NLES_P_14a,NLES_P,"NLES_P,NLES_P_14a",Parent Measures,Interview_of_Emotional_and_Psychological_Function,Negative Life Events Scale – Parent Report
"14b. If yes, the child was aware his/her mother or father was arrested or sent to jail",NLES_P_14b,NLES_P,"NLES_P,NLES_P_14b",Parent Measures,Interview_of_Emotional_and_Psychological_Function,Negative Life Events Scale – Parent Report
"14c. If yes, how upset was the child that his/her mother or father was arrested or sent to jail",NLES_P_14c,NLES_P,"NLES_P,NLES_P_14c",Parent Measures,Interview_of_Emotional_and_Psychological_Function,Negative Life Events Scale – Parent Report
15a. The child's mother or father lost a job,NLES_P_15a,NLES_P,"NLES_P,NLES_P_15a",Parent Measures,Interview_of_Emotional_and_Psychological_Function,Negative Life Events Scale – Parent Report
