index,questions,keys,datadic,col_name,assessment,domains,measures
615,afraid try new things,CBCL_Pre_03,CBCL_Pre,"CBCL_Pre,CBCL_Pre_03",Parent Measures,Demographic_Questionnaire_Measures,Child Behavior Checklist
616,avoids looking others eye,CBCL_Pre_04,CBCL_Pre,"CBCL_Pre,CBCL_Pre_04",Parent Measures,Demographic_Questionnaire_Measures,Child Behavior Checklist
619,stand things place,CBCL_Pre_07,CBCL_Pre,"CBCL_Pre,CBCL_Pre_07",Parent Measures,Demographic_Questionnaire_Measures,Child Behavior Checklist
620,stand waiting wants everything,CBCL_Pre_08,CBCL_Pre,"CBCL_Pre,CBCL_Pre_08",Parent Measures,Demographic_Questionnaire_Measures,Child Behavior Checklist
621,chews things edible,CBCL_Pre_09,CBCL_Pre,"CBCL_Pre,CBCL_Pre_09",Parent Measures,Demographic_Questionnaire_Measures,Child Behavior Checklist
623,constantly seeks help,CBCL_Pre_11,CBCL_Pre,"CBCL_Pre,CBCL_Pre_11",Parent Measures,Demographic_Questionnaire_Measures,Child Behavior Checklist
624,constipated move bowels sick,CBCL_Pre_12,CBCL_Pre,"CBCL_Pre,CBCL_Pre_12",Parent Measures,Demographic_Questionnaire_Measures,Child Behavior Checklist
627,defiant,CBCL_Pre_15,CBCL_Pre,"CBCL_Pre,CBCL_Pre_15",Parent Measures,Demographic_Questionnaire_Measures,Child Behavior Checklist
628,demands must met immediately,CBCL_Pre_16,CBCL_Pre,"CBCL_Pre,CBCL_Pre_16",Parent Measures,Demographic_Questionnaire_Measures,Child Behavior Checklist
631,diarrhea loose bowels sick,CBCL_Pre_19,CBCL_Pre,"CBCL_Pre,CBCL_Pre_19",Parent Measures,Demographic_Questionnaire_Measures,Child Behavior Checklist
632,disobedient,CBCL_Pre_20,CBCL_Pre,"CBCL_Pre,CBCL_Pre_20",Parent Measures,Demographic_Questionnaire_Measures,Child Behavior Checklist
633,disturbed change routine,CBCL_Pre_21,CBCL_Pre,"CBCL_Pre,CBCL_Pre_21",Parent Measures,Demographic_Questionnaire_Measures,Child Behavior Checklist
634,want sleep alone,CBCL_Pre_22,CBCL_Pre,"CBCL_Pre,CBCL_Pre_22",Parent Measures,Demographic_Questionnaire_Measures,Child Behavior Checklist
635,answer people walk,CBCL_Pre_23,CBCL_Pre,"CBCL_Pre,CBCL_Pre_23",Parent Measures,Demographic_Questionnaire_Measures,Child Behavior Checklist
636,eat well describe,CBCL_Pre_24,CBCL_Pre,"CBCL_Pre,CBCL_Pre_24",Parent Measures,Demographic_Questionnaire_Measures,Child Behavior Checklist
637,get along children,CBCL_Pre_25,CBCL_Pre,"CBCL_Pre,CBCL_Pre_25",Parent Measures,Demographic_Questionnaire_Measures,Child Behavior Checklist
638,know fun acts like little adult,CBCL_Pre_26,CBCL_Pre,"CBCL_Pre,CBCL_Pre_26",Parent Measures,Demographic_Questionnaire_Measures,Child Behavior Checklist
640,want go home,CBCL_Pre_28,CBCL_Pre,"CBCL_Pre,CBCL_Pre_28",Parent Measures,Demographic_Questionnaire_Measures,Child Behavior Checklist
641,easily frustrated,CBCL_Pre_29,CBCL_Pre,"CBCL_Pre,CBCL_Pre_29",Parent Measures,Demographic_Questionnaire_Measures,Child Behavior Checklist
643,eats drinks things food include sweets describe,CBCL_Pre_31,CBCL_Pre,"CBCL_Pre,CBCL_Pre_31",Parent Measures,Demographic_Questionnaire_Measures,Child Behavior Checklist
645,feelings easily hurt,CBCL_Pre_33,CBCL_Pre,"CBCL_Pre,CBCL_Pre_33",Parent Measures,Demographic_Questionnaire_Measures,Child Behavior Checklist
646,gets hurt lot addicent prone,CBCL_Pre_34,CBCL_Pre,"CBCL_Pre,CBCL_Pre_34",Parent Measures,Demographic_Questionnaire_Measures,Child Behavior Checklist
648,gets everything,CBCL_Pre_36,CBCL_Pre,"CBCL_Pre,CBCL_Pre_36",Parent Measures,Demographic_Questionnaire_Measures,Child Behavior Checklist
649,gets upset separated parents,CBCL_Pre_37,CBCL_Pre,"CBCL_Pre,CBCL_Pre_37",Parent Measures,Demographic_Questionnaire_Measures,Child Behavior Checklist
650,trouble getting sleep,CBCL_Pre_38,CBCL_Pre,"CBCL_Pre,CBCL_Pre_38",Parent Measures,Demographic_Questionnaire_Measures,Child Behavior Checklist
651,headaches without medical cause,CBCL_Pre_39,CBCL_Pre,"CBCL_Pre,CBCL_Pre_39",Parent Measures,Demographic_Questionnaire_Measures,Child Behavior Checklist
652,hits others,CBCL_Pre_40,CBCL_Pre,"CBCL_Pre,CBCL_Pre_40",Parent Measures,Demographic_Questionnaire_Measures,Child Behavior Checklist
653,holds breath,CBCL_Pre_41,CBCL_Pre,"CBCL_Pre,CBCL_Pre_41",Parent Measures,Demographic_Questionnaire_Measures,Child Behavior Checklist
654,hurts animals people without meaning,CBCL_Pre_42,CBCL_Pre,"CBCL_Pre,CBCL_Pre_42",Parent Measures,Demographic_Questionnaire_Measures,Child Behavior Checklist
655,looks unhappy without good reason,CBCL_Pre_43,CBCL_Pre,"CBCL_Pre,CBCL_Pre_43",Parent Measures,Demographic_Questionnaire_Measures,Child Behavior Checklist
656,angry moods,CBCL_Pre_44,CBCL_Pre,"CBCL_Pre,CBCL_Pre_44",Parent Measures,Demographic_Questionnaire_Measures,Child Behavior Checklist
662,overtired,CBCL_Pre_50,CBCL_Pre,"CBCL_Pre,CBCL_Pre_50",Parent Measures,Demographic_Questionnaire_Measures,Child Behavior Checklist
663,shows panic good reason,CBCL_Pre_51,CBCL_Pre,"CBCL_Pre,CBCL_Pre_51",Parent Measures,Demographic_Questionnaire_Measures,Child Behavior Checklist
664,painful bowel movements without medical cause,CBCL_Pre_52,CBCL_Pre,"CBCL_Pre,CBCL_Pre_52",Parent Measures,Demographic_Questionnaire_Measures,Child Behavior Checklist
669,problems eyes without medical cause describe,CBCL_Pre_57,CBCL_Pre,"CBCL_Pre,CBCL_Pre_57",Parent Measures,Demographic_Questionnaire_Measures,Child Behavior Checklist
670,punishment change behavior,CBCL_Pre_58,CBCL_Pre,"CBCL_Pre,CBCL_Pre_58",Parent Measures,Demographic_Questionnaire_Measures,Child Behavior Checklist
671,quickly shifts one activity another,CBCL_Pre_59,CBCL_Pre,"CBCL_Pre,CBCL_Pre_59",Parent Measures,Demographic_Questionnaire_Measures,Child Behavior Checklist
673,refuses eat,CBCL_Pre_61,CBCL_Pre,"CBCL_Pre,CBCL_Pre_61",Parent Measures,Demographic_Questionnaire_Measures,Child Behavior Checklist
674,refuses play active games,CBCL_Pre_62,CBCL_Pre,"CBCL_Pre,CBCL_Pre_62",Parent Measures,Demographic_Questionnaire_Measures,Child Behavior Checklist
675,repeatedly rocks head body,CBCL_Pre_63,CBCL_Pre,"CBCL_Pre,CBCL_Pre_63",Parent Measures,Demographic_Questionnaire_Measures,Child Behavior Checklist
676,resists going bed night,CBCL_Pre_64,CBCL_Pre,"CBCL_Pre,CBCL_Pre_64",Parent Measures,Demographic_Questionnaire_Measures,Child Behavior Checklist
677,resists toilet training describe,CBCL_Pre_65,CBCL_Pre,"CBCL_Pre,CBCL_Pre_65",Parent Measures,Demographic_Questionnaire_Measures,Child Behavior Checklist
679,seems unresponsive affection,CBCL_Pre_67,CBCL_Pre,"CBCL_Pre,CBCL_Pre_67",Parent Measures,Demographic_Questionnaire_Measures,Child Behavior Checklist
681,selfish share,CBCL_Pre_69,CBCL_Pre,"CBCL_Pre,CBCL_Pre_69",Parent Measures,Demographic_Questionnaire_Measures,Child Behavior Checklist
682,shows little affection towards people,CBCL_Pre_70,CBCL_Pre,"CBCL_Pre,CBCL_Pre_70",Parent Measures,Demographic_Questionnaire_Measures,Child Behavior Checklist
683,shows little interest things around,CBCL_Pre_71,CBCL_Pre,"CBCL_Pre,CBCL_Pre_71",Parent Measures,Demographic_Questionnaire_Measures,Child Behavior Checklist
684,shows little fear getting hurt,CBCL_Pre_72,CBCL_Pre,"CBCL_Pre,CBCL_Pre_72",Parent Measures,Demographic_Questionnaire_Measures,Child Behavior Checklist
686,sleeps less kids day night describe,CBCL_Pre_74,CBCL_Pre,"CBCL_Pre,CBCL_Pre_74",Parent Measures,Demographic_Questionnaire_Measures,Child Behavior Checklist
687,smears plays bowel movements,CBCL_Pre_75,CBCL_Pre,"CBCL_Pre,CBCL_Pre_75",Parent Measures,Demographic_Questionnaire_Measures,Child Behavior Checklist
689,stares space seems preoccupied,CBCL_Pre_77,CBCL_Pre,"CBCL_Pre,CBCL_Pre_77",Parent Measures,Demographic_Questionnaire_Measures,Child Behavior Checklist
690,stomachaches cramps without medical cause,CBCL_Pre_78,CBCL_Pre,"CBCL_Pre,CBCL_Pre_78",Parent Measures,Demographic_Questionnaire_Measures,Child Behavior Checklist
691,rapid shifts sadness excitement,CBCL_Pre_79,CBCL_Pre,"CBCL_Pre,CBCL_Pre_79",Parent Measures,Demographic_Questionnaire_Measures,Child Behavior Checklist
692,strange behavior describe,CBCL_Pre_80,CBCL_Pre,"CBCL_Pre,CBCL_Pre_80",Parent Measures,Demographic_Questionnaire_Measures,Child Behavior Checklist
696,talks cries sleep,CBCL_Pre_84,CBCL_Pre,"CBCL_Pre,CBCL_Pre_84",Parent Measures,Demographic_Questionnaire_Measures,Child Behavior Checklist
698,concerned neatness cleanliness,CBCL_Pre_86,CBCL_Pre,"CBCL_Pre,CBCL_Pre_86",Parent Measures,Demographic_Questionnaire_Measures,Child Behavior Checklist
700,uncooperative,CBCL_Pre_88,CBCL_Pre,"CBCL_Pre,CBCL_Pre_88",Parent Measures,Demographic_Questionnaire_Measures,Child Behavior Checklist
703,unusally loud,CBCL_Pre_91,CBCL_Pre,"CBCL_Pre,CBCL_Pre_91",Parent Measures,Demographic_Questionnaire_Measures,Child Behavior Checklist
704,upset new people situations describe,CBCL_Pre_92,CBCL_Pre,"CBCL_Pre,CBCL_Pre_92",Parent Measures,Demographic_Questionnaire_Measures,Child Behavior Checklist
705,vomiting throwing without medical cause,CBCL_Pre_93,CBCL_Pre,"CBCL_Pre,CBCL_Pre_93",Parent Measures,Demographic_Questionnaire_Measures,Child Behavior Checklist
706,wakes often night,CBCL_Pre_94,CBCL_Pre,"CBCL_Pre,CBCL_Pre_94",Parent Measures,Demographic_Questionnaire_Measures,Child Behavior Checklist
707,wanders away,CBCL_Pre_95,CBCL_Pre,"CBCL_Pre,CBCL_Pre_95",Parent Measures,Demographic_Questionnaire_Measures,Child Behavior Checklist
708,wants lot attention,CBCL_Pre_96,CBCL_Pre,"CBCL_Pre,CBCL_Pre_96",Parent Measures,Demographic_Questionnaire_Measures,Child Behavior Checklist
709,97 whining,CBCL_Pre_97,CBCL_Pre,"CBCL_Pre,CBCL_Pre_97",Parent Measures,Demographic_Questionnaire_Measures,Child Behavior Checklist
710,withdrawn get involved others,CBCL_Pre_98,CBCL_Pre,"CBCL_Pre,CBCL_Pre_98",Parent Measures,Demographic_Questionnaire_Measures,Child Behavior Checklist
712,please write problems listed,CBCL_Pre_100a,CBCL_Pre,"CBCL_Pre,CBCL_Pre_100a",Parent Measures,Demographic_Questionnaire_Measures,Child Behavior Checklist
714,c please write problems listed,CBCL_Pre_100c,CBCL_Pre,"CBCL_Pre,CBCL_Pre_100c",Parent Measures,Demographic_Questionnaire_Measures,Child Behavior Checklist
723,sleep problems,CBCL_Pre_SP,CBCL_Pre,"CBCL_Pre,CBCL_Pre_SP",Parent Measures,Demographic_Questionnaire_Measures,Child Behavior Checklist
725,withdrawn,CBCL_Pre_WD,CBCL_Pre,"CBCL_Pre,CBCL_Pre_WD",Parent Measures,Demographic_Questionnaire_Measures,Child Behavior Checklist
731,attention deficit hyperactivity problems,CBCL_Pre_DSM_ADHP,CBCL_Pre,"CBCL_Pre,CBCL_Pre_DSM_ADHP",Parent Measures,Demographic_Questionnaire_Measures,Child Behavior Checklist
733,anxiety problems,CBCL_Pre_DSM_AnxP,CBCL_Pre,"CBCL_Pre,CBCL_Pre_DSM_AnxP",Parent Measures,Demographic_Questionnaire_Measures,Child Behavior Checklist
735,affective problems,CBCL_Pre_DSM_AP,CBCL_Pre,"CBCL_Pre,CBCL_Pre_DSM_AP",Parent Measures,Demographic_Questionnaire_Measures,Child Behavior Checklist
737,oppositional defiant problems,CBCL_Pre_DSM_ODP,CBCL_Pre,"CBCL_Pre,CBCL_Pre_DSM_ODP",Parent Measures,Demographic_Questionnaire_Measures,Child Behavior Checklist
739,pervasive development problems,CBCL_Pre_DSM_PDP,CBCL_Pre,"CBCL_Pre,CBCL_Pre_DSM_PDP",Parent Measures,Demographic_Questionnaire_Measures,Child Behavior Checklist
740,pervasive development problems scre,CBCL_Pre_DSM_PDP_T,CBCL_Pre,"CBCL_Pre,CBCL_Pre_DSM_PDP_T",Parent Measures,Demographic_Questionnaire_Measures,Child Behavior Checklist
744,problems thought could something,CCSC_01,CCSC,"CCSC,CCSC_01",Child Measures,Questionnaire_Measures_of_Family_Structure_Stress_and_Trauma,Children’s Coping Strategies Checklist-Revised 
745,told could handle problem,CCSC_02,CCSC,"CCSC,CCSC_02",Child Measures,Questionnaire_Measures_of_Family_Structure_Stress_and_Trauma,Children’s Coping Strategies Checklist-Revised 
746,daydreamed everything okay,CCSC_03,CCSC,"CCSC,CCSC_03",Child Measures,Questionnaire_Measures_of_Family_Structure_Stress_and_Trauma,Children’s Coping Strategies Checklist-Revised 
747,asked parent help figuring,CCSC_04,CCSC,"CCSC,CCSC_04",Child Measures,Questionnaire_Measures_of_Family_Structure_Stress_and_Trauma,Children’s Coping Strategies Checklist-Revised 
748,something make things better,CCSC_05,CCSC,"CCSC,CCSC_05",Child Measures,Questionnaire_Measures_of_Family_Structure_Stress_and_Trauma,Children’s Coping Strategies Checklist-Revised 
749,problems since stressor sought god help,CCSC_06,CCSC,"CCSC,CCSC_06",Child Measures,Questionnaire_Measures_of_Family_Structure_Stress_and_Trauma,Children’s Coping Strategies Checklist-Revised 
750,told things would get better,CCSC_07,CCSC,"CCSC,CCSC_07",Child Measures,Questionnaire_Measures_of_Family_Structure_Stress_and_Trauma,Children’s Coping Strategies Checklist-Revised 
751,tried ignore,CCSC_08,CCSC,"CCSC,CCSC_08",Child Measures,Questionnaire_Measures_of_Family_Structure_Stress_and_Trauma,Children’s Coping Strategies Checklist-Revised 
752,told parent felt problem,CCSC_09,CCSC,"CCSC,CCSC_09",Child Measures,Questionnaire_Measures_of_Family_Structure_Stress_and_Trauma,Children’s Coping Strategies Checklist-Revised 
753,thought happened,CCSC_10,CCSC,"CCSC,CCSC_10",Child Measures,Questionnaire_Measures_of_Family_Structure_Stress_and_Trauma,Children’s Coping Strategies Checklist-Revised 
754,tried notice think good things life,CCSC_11,CCSC,"CCSC,CCSC_11",Child Measures,Questionnaire_Measures_of_Family_Structure_Stress_and_Trauma,Children’s Coping Strategies Checklist-Revised 
755,tried stay away problem,CCSC_12,CCSC,"CCSC,CCSC_12",Child Measures,Questionnaire_Measures_of_Family_Structure_Stress_and_Trauma,Children’s Coping Strategies Checklist-Revised 
756,told adults parent wanted,CCSC_13,CCSC,"CCSC,CCSC_13",Child Measures,Questionnaire_Measures_of_Family_Structure_Stress_and_Trauma,Children’s Coping Strategies Checklist-Revised 
757,problems since stressor thought would happen decided,CCSC_14,CCSC,"CCSC,CCSC_14",Child Measures,Questionnaire_Measures_of_Family_Structure_Stress_and_Trauma,Children’s Coping Strategies Checklist-Revised 
758,told taken care things like,CCSC_15,CCSC,"CCSC,CCSC_15",Child Measures,Questionnaire_Measures_of_Family_Structure_Stress_and_Trauma,Children’s Coping Strategies Checklist-Revised 
759,put trust god,CCSC_16,CCSC,"CCSC,CCSC_16",Child Measures,Questionnaire_Measures_of_Family_Structure_Stress_and_Trauma,Children’s Coping Strategies Checklist-Revised 
760,talked feelings adult parent,CCSC_17,CCSC,"CCSC,CCSC_17",Child Measures,Questionnaire_Measures_of_Family_Structure_Stress_and_Trauma,Children’s Coping Strategies Checklist-Revised 
761,imagined like things,CCSC_18,CCSC,"CCSC,CCSC_18",Child Measures,Questionnaire_Measures_of_Family_Structure_Stress_and_Trauma,Children’s Coping Strategies Checklist-Revised 
762,told parent would like solve problem,CCSC_19,CCSC,"CCSC,CCSC_19",Child Measures,Questionnaire_Measures_of_Family_Structure_Stress_and_Trauma,Children’s Coping Strategies Checklist-Revised 
763,problems since stressor tried make things better changing,CCSC_20,CCSC,"CCSC,CCSC_20",Child Measures,Questionnaire_Measures_of_Family_Structure_Stress_and_Trauma,Children’s Coping Strategies Checklist-Revised 
764,told would ok,CCSC_21,CCSC,"CCSC,CCSC_21",Child Measures,Questionnaire_Measures_of_Family_Structure_Stress_and_Trauma,Children’s Coping Strategies Checklist-Revised 
765,tried put mind,CCSC_22,CCSC,"CCSC,CCSC_22",Child Measures,Questionnaire_Measures_of_Family_Structure_Stress_and_Trauma,Children’s Coping Strategies Checklist-Revised 
766,told friends made feel way,CCSC_23,CCSC,"CCSC,CCSC_23",Child Measures,Questionnaire_Measures_of_Family_Structure_Stress_and_Trauma,Children’s Coping Strategies Checklist-Revised 
767,tried understand better thinking,CCSC_24,CCSC,"CCSC,CCSC_24",Child Measures,Questionnaire_Measures_of_Family_Structure_Stress_and_Trauma,Children’s Coping Strategies Checklist-Revised 
768,reminded better lot young people,CCSC_25,CCSC,"CCSC,CCSC_25",Child Measures,Questionnaire_Measures_of_Family_Structure_Stress_and_Trauma,Children’s Coping Strategies Checklist-Revised 
769,problems since stressor tried stay away things made feel upset,CCSC_26,CCSC,"CCSC,CCSC_26",Child Measures,Questionnaire_Measures_of_Family_Structure_Stress_and_Trauma,Children’s Coping Strategies Checklist-Revised 
770,talked friends would like happen,CCSC_27,CCSC,"CCSC,CCSC_27",Child Measures,Questionnaire_Measures_of_Family_Structure_Stress_and_Trauma,Children’s Coping Strategies Checklist-Revised 
771,tried find comfort religion,CCSC_28,CCSC,"CCSC,CCSC_28",Child Measures,Questionnaire_Measures_of_Family_Structure_Stress_and_Trauma,Children’s Coping Strategies Checklist-Revised 
772,thought things best handle problem,CCSC_29,CCSC,"CCSC,CCSC_29",Child Measures,Questionnaire_Measures_of_Family_Structure_Stress_and_Trauma,Children’s Coping Strategies Checklist-Revised 
773,told could handle whatever happens,CCSC_30,CCSC,"CCSC,CCSC_30",Child Measures,Questionnaire_Measures_of_Family_Structure_Stress_and_Trauma,Children’s Coping Strategies Checklist-Revised 
774,wished bad things happen,CCSC_31,CCSC,"CCSC,CCSC_31",Child Measures,Questionnaire_Measures_of_Family_Structure_Stress_and_Trauma,Children’s Coping Strategies Checklist-Revised 
775,told parent felt,CCSC_32,CCSC,"CCSC,CCSC_32",Child Measures,Questionnaire_Measures_of_Family_Structure_Stress_and_Trauma,Children’s Coping Strategies Checklist-Revised 
776,problems since stressor something solve problem,CCSC_33,CCSC,"CCSC,CCSC_33",Child Measures,Questionnaire_Measures_of_Family_Structure_Stress_and_Trauma,Children’s Coping Strategies Checklist-Revised 
777,told brother sister made feel way,CCSC_34,CCSC,"CCSC,CCSC_34",Child Measures,Questionnaire_Measures_of_Family_Structure_Stress_and_Trauma,Children’s Coping Strategies Checklist-Revised 
778,told long run things would work best,CCSC_35,CCSC,"CCSC,CCSC_35",Child Measures,Questionnaire_Measures_of_Family_Structure_Stress_and_Trauma,Children’s Coping Strategies Checklist-Revised 
779,think,CCSC_36,CCSC,"CCSC,CCSC_36",Child Measures,Questionnaire_Measures_of_Family_Structure_Stress_and_Trauma,Children’s Coping Strategies Checklist-Revised 
780,talked another adult parent could help solve problem,CCSC_37,CCSC,"CCSC,CCSC_37",Child Measures,Questionnaire_Measures_of_Family_Structure_Stress_and_Trauma,Children’s Coping Strategies Checklist-Revised 
781,thought could learn problem,CCSC_38,CCSC,"CCSC,CCSC_38",Child Measures,Questionnaire_Measures_of_Family_Structure_Stress_and_Trauma,Children’s Coping Strategies Checklist-Revised 
782,reminded overall things pretty good,CCSC_39,CCSC,"CCSC,CCSC_39",Child Measures,Questionnaire_Measures_of_Family_Structure_Stress_and_Trauma,Children’s Coping Strategies Checklist-Revised 
783,problems since stressor avoided people made feel bad,CCSC_40,CCSC,"CCSC,CCSC_40",Child Measures,Questionnaire_Measures_of_Family_Structure_Stress_and_Trauma,Children’s Coping Strategies Checklist-Revised 
784,told adult parent felt,CCSC_41,CCSC,"CCSC,CCSC_41",Child Measures,Questionnaire_Measures_of_Family_Structure_Stress_and_Trauma,Children’s Coping Strategies Checklist-Revised 
785,thought needed know could solve problem,CCSC_42,CCSC,"CCSC,CCSC_42",Child Measures,Questionnaire_Measures_of_Family_Structure_Stress_and_Trauma,Children’s Coping Strategies Checklist-Revised 
786,reminded knew,CCSC_43,CCSC,"CCSC,CCSC_43",Child Measures,Questionnaire_Measures_of_Family_Structure_Stress_and_Trauma,Children’s Coping Strategies Checklist-Revised 
787,talked brother sister would like happen,CCSC_44,CCSC,"CCSC,CCSC_44",Child Measures,Questionnaire_Measures_of_Family_Structure_Stress_and_Trauma,Children’s Coping Strategies Checklist-Revised 
788,prayed usual,CCSC_45,CCSC,"CCSC,CCSC_45",Child Measures,Questionnaire_Measures_of_Family_Structure_Stress_and_Trauma,Children’s Coping Strategies Checklist-Revised 
789,wished things better,CCSC_46,CCSC,"CCSC,CCSC_46",Child Measures,Questionnaire_Measures_of_Family_Structure_Stress_and_Trauma,Children’s Coping Strategies Checklist-Revised 
790,figured could talking one friends,CCSC_47,CCSC,"CCSC,CCSC_47",Child Measures,Questionnaire_Measures_of_Family_Structure_Stress_and_Trauma,Children’s Coping Strategies Checklist-Revised 
791,problems since stressor something order get could situation,CCSC_48,CCSC,"CCSC,CCSC_48",Child Measures,Questionnaire_Measures_of_Family_Structure_Stress_and_Trauma,Children’s Coping Strategies Checklist-Revised 
792,told would work,CCSC_49,CCSC,"CCSC,CCSC_49",Child Measures,Questionnaire_Measures_of_Family_Structure_Stress_and_Trauma,Children’s Coping Strategies Checklist-Revised 
793,forgot,CCSC_50,CCSC,"CCSC,CCSC_50",Child Measures,Questionnaire_Measures_of_Family_Structure_Stress_and_Trauma,Children’s Coping Strategies Checklist-Revised 
794,talked brother sister feelings,CCSC_51,CCSC,"CCSC,CCSC_51",Child Measures,Questionnaire_Measures_of_Family_Structure_Stress_and_Trauma,Children’s Coping Strategies Checklist-Revised 
795,tried figure things like happen,CCSC_52,CCSC,"CCSC,CCSC_52",Child Measures,Questionnaire_Measures_of_Family_Structure_Stress_and_Trauma,Children’s Coping Strategies Checklist-Revised 
796,reminded things going,CCSC_53,CCSC,"CCSC,CCSC_53",Child Measures,Questionnaire_Measures_of_Family_Structure_Stress_and_Trauma,Children’s Coping Strategies Checklist-Revised 
797,talked friends feelings,CCSC_54,CCSC,"CCSC,CCSC_54",Child Measures,Questionnaire_Measures_of_Family_Structure_Stress_and_Trauma,Children’s Coping Strategies Checklist-Revised 
798,avoided going room,CCSC_55,CCSC,"CCSC,CCSC_55",Child Measures,Questionnaire_Measures_of_Family_Structure_Stress_and_Trauma,Children’s Coping Strategies Checklist-Revised 
799,talked brother sister make things better,CCSC_56,CCSC,"CCSC,CCSC_56",Child Measures,Questionnaire_Measures_of_Family_Structure_Stress_and_Trauma,Children’s Coping Strategies Checklist-Revised 
800,problem focused coping,CCSC_PFC,CCSC,"CCSC,CCSC_PFC",Child Measures,Questionnaire_Measures_of_Family_Structure_Stress_and_Trauma,Children’s Coping Strategies Checklist-Revised 
801,cognitive decision making,CCSC_CDM,CCSC,"CCSC,CCSC_CDM",Child Measures,Questionnaire_Measures_of_Family_Structure_Stress_and_Trauma,Children’s Coping Strategies Checklist-Revised 
802,direct problem solving,CCSC_DPS,CCSC,"CCSC,CCSC_DPS",Child Measures,Questionnaire_Measures_of_Family_Structure_Stress_and_Trauma,Children’s Coping Strategies Checklist-Revised 
803,seeking understanding,CCSC_SU,CCSC,"CCSC,CCSC_SU",Child Measures,Questionnaire_Measures_of_Family_Structure_Stress_and_Trauma,Children’s Coping Strategies Checklist-Revised 
804,avoidance coping,CCSC_AC,CCSC,"CCSC,CCSC_AC",Child Measures,Questionnaire_Measures_of_Family_Structure_Stress_and_Trauma,Children’s Coping Strategies Checklist-Revised 
805,avoidant actions,CCSC_AA,CCSC,"CCSC,CCSC_AA",Child Measures,Questionnaire_Measures_of_Family_Structure_Stress_and_Trauma,Children’s Coping Strategies Checklist-Revised 
806,repression,CCSC_REP,CCSC,"CCSC,CCSC_REP",Child Measures,Questionnaire_Measures_of_Family_Structure_Stress_and_Trauma,Children’s Coping Strategies Checklist-Revised 
807,wishful thinking,CCSC_WT,CCSC,"CCSC,CCSC_WT",Child Measures,Questionnaire_Measures_of_Family_Structure_Stress_and_Trauma,Children’s Coping Strategies Checklist-Revised 
808,positive cognitive restructuring,CCSC_PCR,CCSC,"CCSC,CCSC_PCR",Child Measures,Questionnaire_Measures_of_Family_Structure_Stress_and_Trauma,Children’s Coping Strategies Checklist-Revised 
809,control,CCSC_CON,CCSC,"CCSC,CCSC_CON",Child Measures,Questionnaire_Measures_of_Family_Structure_Stress_and_Trauma,Children’s Coping Strategies Checklist-Revised 
810,optimism,CCSC_OPT,CCSC,"CCSC,CCSC_OPT",Child Measures,Questionnaire_Measures_of_Family_Structure_Stress_and_Trauma,Children’s Coping Strategies Checklist-Revised 
811,positivity,CCSC_POS,CCSC,"CCSC,CCSC_POS",Child Measures,Questionnaire_Measures_of_Family_Structure_Stress_and_Trauma,Children’s Coping Strategies Checklist-Revised 
812,religion,CCSC_REL,CCSC,"CCSC,CCSC_REL",Child Measures,Questionnaire_Measures_of_Family_Structure_Stress_and_Trauma,Children’s Coping Strategies Checklist-Revised 
813,support seeking,CCSC_SS,CCSC,"CCSC,CCSC_SS",Child Measures,Questionnaire_Measures_of_Family_Structure_Stress_and_Trauma,Children’s Coping Strategies Checklist-Revised 
814,support sought mother father guardian,CCSC_SUPMF,CCSC,"CCSC,CCSC_SUPMF",Child Measures,Questionnaire_Measures_of_Family_Structure_Stress_and_Trauma,Children’s Coping Strategies Checklist-Revised 
815,support sought adults,CCSC_SUPOA,CCSC,"CCSC,CCSC_SUPOA",Child Measures,Questionnaire_Measures_of_Family_Structure_Stress_and_Trauma,Children’s Coping Strategies Checklist-Revised 
816,support sought peers,CCSC_SUPEER,CCSC,"CCSC,CCSC_SUPEER",Child Measures,Questionnaire_Measures_of_Family_Structure_Stress_and_Trauma,Children’s Coping Strategies Checklist-Revised 
817,support sought siblings,CCSC_SUPSIB,CCSC,"CCSC,CCSC_SUPSIB",Child Measures,Questionnaire_Measures_of_Family_Structure_Stress_and_Trauma,Children’s Coping Strategies Checklist-Revised 
928,shows interest curiosity learning new things,CFS_01,CFS,,,,
929,stays calm control faced chllenge,CFS_02,CFS,,,,
930,finishes task follows plans,CFS_03,CFS,,,,
931,cares well school,CFS_04,CFS,,,,
932,completes required homework,CFS_05,CFS,,,,
934,general much problem think getting trouble,CIS_P_01,CIS_P,"CIS_P,CIS_P_01",Parent Measures,Demographic_Questionnaire_Measures,The Columbia Impairment Scale-Parent Report Version
935,general much problem think getting along mother,CIS_P_02,CIS_P,"CIS_P,CIS_P_02",Parent Measures,Demographic_Questionnaire_Measures,The Columbia Impairment Scale-Parent Report Version
936,general much problem think getting along father,CIS_P_03,CIS_P,"CIS_P,CIS_P_03",Parent Measures,Demographic_Questionnaire_Measures,The Columbia Impairment Scale-Parent Report Version
937,general much problem think feeling unhappy sad,CIS_P_04,CIS_P,"CIS_P,CIS_P_04",Parent Measures,Demographic_Questionnaire_Measures,The Columbia Impairment Scale-Parent Report Version
938,much problem would say behavior school job,CIS_P_05,CIS_P,"CIS_P,CIS_P_05",Parent Measures,Demographic_Questionnaire_Measures,The Columbia Impairment Scale-Parent Report Version
